Month,Amount_Adj
01/01/2007,395.14
01/02/2007,389.25
01/03/2007,394.2
01/04/2007,419
01/05/2007,335.25
01/06/2007,424.52
01/07/2007,431.3
01/08/2007,494.5
01/09/2007,374.27
01/10/2007,444
01/11/2007,493.5
01/12/2007,473.675
01/01/2008,453.85
01/02/2008,434.025
01/03/2008,414.2
01/04/2008,425.25
01/05/2008,365.5
01/06/2008,455.1
01/07/2008,464.55
01/08/2008,474
01/09/2008,410.2
01/10/2008,440.4
01/11/2008,375.75
01/12/2008,351.2
01/01/2009,385.2
01/02/2009,370.55
01/03/2009,341.44
01/04/2009,416.21
01/05/2009,430.23
01/06/2009,444.25
01/07/2009,457.5
01/08/2009,460.18
01/09/2009,423.91
01/10/2009,415.45
01/11/2009,373.75
01/12/2009,335.33
01/01/2010,375.2
01/02/2010,374.375
01/03/2010,373.55
01/04/2010,414.19
01/05/2010,382.45
01/06/2010,413
01/07/2010,381
01/08/2010,456.3
01/09/2010,413.25
01/10/2010,423.55
01/11/2010,396.55361
01/12/2010,341.2
01/01/2011,385.25
01/02/2011,362.15
01/03/2011,373.55
01/04/2011,413.75
01/05/2011,417.7
01/06/2011,418.6
01/07/2011,421.2
01/08/2011,465.48
01/09/2011,444.91
01/10/2011,453.7
01/11/2011,420.8
01/12/2011,375.4
01/01/2012,374.15
01/02/2012,371.25
01/03/2012,401.45
01/04/2012,398.475
01/05/2012,395.5
01/06/2012,423.29
01/07/2012,441.45
01/08/2012,483.25
01/09/2012,453.725
01/10/2012,424.2
01/11/2012,412.15
01/12/2012,382.25
01/01/2013,390.15
01/02/2013,371.25
01/03/2013,369.4
01/04/2013,421.1
01/05/2013,413.25
01/06/2013,418.25
01/07/2013,423.55
01/08/2013,486.75
01/09/2013,441.5
01/10/2013,452.7
01/11/2013,419.1
01/12/2013,379.9
