,x
1,194.9160389
2,179.119635
3,165.9983542
4,87.28573681
5,147.9561867
6,175.306433
7,-950.5823847
8,194.9160389
9,179.119635
10,165.9983542
11,87.28573681
12,147.9561867
13,175.306433
14,-950.5823847
15,194.9160389
16,179.119635
17,165.9983542
18,87.28573681
19,147.9561867
20,175.306433
21,-950.5823847
22,194.9160389
23,179.119635
24,165.9983542
25,87.28573681
26,147.9561867
27,175.306433
28,-950.5823847
29,194.9160389
30,179.119635
31,165.9983542
32,87.28573681
33,147.9561867
34,175.306433
35,-950.5823847
36,194.9160389
37,179.119635
38,165.9983542
39,87.28573681
40,147.9561867
41,175.306433
42,-950.5823847
43,194.9160389
44,179.119635
45,165.9983542
46,87.28573681
47,147.9561867
48,175.306433
49,-950.5823847
50,194.9160389
51,179.119635
52,165.9983542
53,87.28573681
54,147.9561867
55,175.306433
56,-950.5823847
57,194.9160389
58,179.119635
59,165.9983542
60,87.28573681
61,147.9561867
62,175.306433
63,-950.5823847
64,194.9160389
65,179.119635
66,165.9983542
67,87.28573681
68,147.9561867
69,175.306433
70,-950.5823847
71,194.9160389
72,179.119635
73,165.9983542
74,87.28573681
75,147.9561867
76,175.306433
77,-950.5823847
78,194.9160389
79,179.119635
80,165.9983542
81,87.28573681
82,147.9561867
83,175.306433
84,-950.5823847
85,194.9160389
86,179.119635
87,165.9983542
88,87.28573681
89,147.9561867
90,175.306433
91,-950.5823847
92,194.9160389
93,179.119635
94,165.9983542
95,87.28573681
96,147.9561867
97,175.306433
98,-950.5823847
99,194.9160389
100,179.119635
101,165.9983542
102,87.28573681
103,147.9561867
104,175.306433
105,-950.5823847
106,194.9160389
107,179.119635
108,165.9983542
109,87.28573681
110,147.9561867
111,175.306433
112,-950.5823847
113,194.9160389
114,179.119635
115,165.9983542
116,87.28573681
117,147.9561867
118,175.306433
119,-950.5823847
120,194.9160389
121,179.119635
122,165.9983542
123,87.28573681
124,147.9561867
125,175.306433
126,-950.5823847
127,194.9160389
128,179.119635
129,165.9983542
130,87.28573681
131,147.9561867
132,175.306433
133,-950.5823847
134,194.9160389
135,179.119635
136,165.9983542
137,87.28573681
138,147.9561867
139,175.306433
140,-950.5823847
141,194.9160389
142,179.119635
143,165.9983542
144,87.28573681
145,147.9561867
146,175.306433
147,-950.5823847
148,194.9160389
149,179.119635
150,165.9983542
151,87.28573681
152,147.9561867
153,175.306433
154,-950.5823847
155,194.9160389
156,179.119635
157,165.9983542
158,87.28573681
159,147.9561867
160,175.306433
161,-950.5823847
162,194.9160389
163,179.119635
164,165.9983542
165,87.28573681
166,147.9561867
167,175.306433
168,-950.5823847
169,194.9160389
170,179.119635
171,165.9983542
172,87.28573681
173,147.9561867
174,175.306433
175,-950.5823847
176,194.9160389
177,179.119635
178,165.9983542
179,87.28573681
180,147.9561867
181,175.306433
182,-950.5823847
183,194.9160389
184,179.119635
185,165.9983542
186,87.28573681
187,147.9561867
188,175.306433
189,-950.5823847
190,194.9160389
191,179.119635
192,165.9983542
193,87.28573681
194,147.9561867
195,175.306433
196,-950.5823847
197,194.9160389
198,179.119635
199,165.9983542
200,87.28573681
201,147.9561867
202,175.306433
203,-950.5823847
204,194.91604
205,179.11963
206,165.99835
207,87.28574
208,147.95619
209,175.30643
210,-950.58238
